lemma,form,paradigm_slot,form_freq,lemma_freq,phonemic_form,Fold,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
siitä,sikiän,V;ACT;PRS;POS;IND;1;SG,0.0,7.653548387096775e-05,s i k i æ n,4,V,ACT,PRS,POS,IND,1,SG,,,
siitä,en sikiä,V;ACT;PRS;NEG;IND;1;SG,0.0,7.653548387096775e-05,e n s i k i æ,2,V,ACT,PRS,NEG,IND,1,SG,,,
siitä,olen siinnyt,V;ACT;PRS;PRF;POS;IND;1;SG,0.0,7.653548387096775e-05,o l e n s iː nː y t,4,V,ACT,PRS,PRF,POS,IND,1,SG,,
siitä,en ole siinnyt,V;ACT;PRS;PRF;NEG;IND;1;SG,0.0,7.653548387096775e-05,e n o l eˣ s iː nː y t,2,V,ACT,PRS,PRF,NEG,IND,1,SG,,
siitä,sikiät,V;ACT;PRS;POS;IND;2;SG,0.0,7.653548387096775e-05,s i k i æ t,0,V,ACT,PRS,POS,IND,2,SG,,,
siitä,et sikiä,V;ACT;PRS;NEG;IND;2;SG,0.0,7.653548387096775e-05,e t s i k i æ,2,V,ACT,PRS,NEG,IND,2,SG,,,
siitä,olet siinnyt,V;ACT;PRS;PRF;POS;IND;2;SG,0.0,7.653548387096775e-05,o l e t s iː nː y t,1,V,ACT,PRS,PRF,POS,IND,2,SG,,
siitä,et ole siinnyt,V;ACT;PRS;PRF;NEG;IND;2;SG,0.0,7.653548387096775e-05,e t o l eˣ s iː nː y t,0,V,ACT,PRS,PRF,NEG,IND,2,SG,,
siitä,sikiää,V;ACT;PRS;POS;IND;3;SG,4e-06,7.653548387096775e-05,s i k i æː,3,V,ACT,PRS,POS,IND,3,SG,,,
siitä,ei sikiä,V;ACT;PRS;NEG;IND;3;SG,0.0,7.653548387096775e-05,e i̯ s i k i æ,3,V,ACT,PRS,NEG,IND,3,SG,,,
siitä,on siinnyt,V;ACT;PRS;PRF;POS;IND;3;SG,0.0,7.653548387096775e-05,o n s iː nː y t,1,V,ACT,PRS,PRF,POS,IND,3,SG,,
siitä,ei ole siinnyt,V;ACT;PRS;PRF;NEG;IND;3;SG,0.0,7.653548387096775e-05,e i̯ o l eˣ s iː nː y t,2,V,ACT,PRS,PRF,NEG,IND,3,SG,,
siitä,sikiämme,V;ACT;PRS;POS;IND;1;PL,0.0,7.653548387096775e-05,s i k i æ mː eˣ,3,V,ACT,PRS,POS,IND,1,PL,,,
siitä,emme sikiä,V;ACT;PRS;NEG;IND;1;PL,0.0,7.653548387096775e-05,e mː eˣ s i k i æ,3,V,ACT,PRS,NEG,IND,1,PL,,,
siitä,olemme siinneet,V;ACT;PRS;PRF;POS;IND;1;PL,0.0,7.653548387096775e-05,o l e mː e s iː nː eː t,3,V,ACT,PRS,PRF,POS,IND,1,PL,,
siitä,emme ole siinneet,V;ACT;PRS;PRF;NEG;IND;1;PL,0.0,7.653548387096775e-05,e mː e o l eˣ s iː nː eː t,4,V,ACT,PRS,PRF,NEG,IND,1,PL,,
siitä,sikiätte,V;ACT;PRS;POS;IND;2;PL,0.0,7.653548387096775e-05,s i k i æ tː eˣ,1,V,ACT,PRS,POS,IND,2,PL,,,
siitä,ette sikiä,V;ACT;PRS;NEG;IND;2;PL,0.0,7.653548387096775e-05,e tː e s i k i æ,0,V,ACT,PRS,NEG,IND,2,PL,,,
siitä,olette siinneet,V;ACT;PRS;PRF;POS;IND;2;PL,0.0,7.653548387096775e-05,o l e tː e s iː nː eː t,4,V,ACT,PRS,PRF,POS,IND,2,PL,,
siitä,ette ole siinneet,V;ACT;PRS;PRF;NEG;IND;2;PL,0.0,7.653548387096775e-05,e tː e o l e s iː nː eː t,3,V,ACT,PRS,PRF,NEG,IND,2,PL,,
siitä,sikiävät,V;ACT;PRS;POS;IND;3;PL,1e-06,7.653548387096775e-05,s i k i æ ʋ æ t,4,V,ACT,PRS,POS,IND,3,PL,,,
siitä,eivät sikiä,V;ACT;PRS;NEG;IND;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t s i k i æ,1,V,ACT,PRS,NEG,IND,3,PL,,,
siitä,ovat siinneet,V;ACT;PRS;PRF;POS;IND;3;PL,0.0,7.653548387096775e-05,o ʋ ɑ t s iː nː eː t,0,V,ACT,PRS,PRF,POS,IND,3,PL,,
siitä,eivät ole siinneet,V;ACT;PRS;PRF;NEG;IND;3;PL,0.0,7.653548387096775e-05,e i̯ ʋ æ t o l eˣ s iː nː eː t,4,V,ACT,PRS,PRF,NEG,IND,3,PL,,
siitä,siitään,V;PASS;PRS;POS;IND,0.0,7.653548387096775e-05,s iː t æː n,1,V,PASS,PRS,POS,IND,,,,,
